═════════════════════════════════════════════════════════════════
PHASE 4: xArm5 REACHABILITY MAP
═════════════════════════════════════════════════════════════════
Date: 2026-04-12
Solver: TRAC-IK (solve_type: Distance)
Orientation: tool-down (roll=180, pitch=0, yaw=0)
Collision checking: enabled (mounting table in scene)
Grid: X=[100,500] Y=[-400,400] Z=[0,500] step=50mm
Total: 1683 poses, 1638 reachable (97.3%)

REACHABLE ENVELOPE:
  X: 100 to 500 mm
  Y: -400 to 400 mm
  Z: 0 to 500 mm

PER Z-LAYER:
  z=   0mm:  145 pts, x=[100,500] y=[-400,400]
  z=  50mm:  145 pts, x=[100,500] y=[-400,400]
  z= 100mm:  145 pts, x=[100,500] y=[-400,400]
  z= 150mm:  145 pts, x=[100,500] y=[-400,400]
  z= 200mm:  145 pts, x=[100,500] y=[-400,400]
  z= 250mm:  150 pts, x=[100,500] y=[-400,400]
  z= 300mm:  153 pts, x=[100,500] y=[-400,400]
  z= 350mm:  153 pts, x=[100,500] y=[-400,400]
  z= 400mm:  153 pts, x=[100,500] y=[-400,400]
  z= 450mm:  153 pts, x=[100,500] y=[-400,400]
  z= 500mm:  151 pts, x=[100,500] y=[-400,400]

   250, -250,  150, YES
   250, -250,  200, YES
   250, -250,  250, YES
   250, -250,  300, YES
   250, -250,  350, YES
   250, -250,  400, YES
   250, -250,  450, YES
   250, -250,  500, YES
   250, -200,    0, YES
   250, -200,   50, YES
   250, -200,  100, YES
   250, -200,  150, YES
   250, -200,  200, YES
   250, -200,  250, YES
   250, -200,  300, YES
   250, -200,  350, YES
   250, -200,  400, YES
   250, -200,  450, YES
   250, -200,  500, YES
   250, -150,    0, YES
   250, -150,   50, YES
   250, -150,  100, YES
   250, -150,  150, YES
   250, -150,  200, YES
   250, -150,  250, YES
   250, -150,  300, YES
   250, -150,  350, YES
   250, -150,  400, YES
   250, -150,  450, YES
   250, -150,  500, YES
   250, -100,    0, YES
   250, -100,   50, YES
   250, -100,  100, YES
   250, -100,  150, YES
   250, -100,  200, YES
   250, -100,  250, YES
   250, -100,  300, YES
   250, -100,  350, YES
   250, -100,  400, YES
   250, -100,  450, YES
   250, -100,  500, YES
   250,  -50,    0, YES
   250,  -50,   50, YES
   250,  -50,  100, YES
   250,  -50,  150, YES
   250,  -50,  200, YES
   250,  -50,  250, YES
   250,  -50,  300, YES
   250,  -50,  350, YES
   250,  -50,  400, YES
   250,  -50,  450, YES
   250,  -50,  500, YES
   250,    0,    0, YES
   250,    0,   50, YES
   250,    0,  100, YES
   250,    0,  150, YES
   250,    0,  200, YES
   250,    0,  250, YES
   250,    0,  300, YES
   250,    0,  350, YES
   250,    0,  400, YES
   250,    0,  450, YES
   250,    0,  500, YES
   250,   50,    0, YES
   250,   50,   50, YES
   250,   50,  100, YES
   250,   50,  150, YES
   250,   50,  200, YES
   250,   50,  250, YES
   250,   50,  300, YES
   250,   50,  350, YES
   250,   50,  400, YES
   250,   50,  450, YES
   250,   50,  500, YES
   250,  100,    0, YES
   250,  100,   50, YES
   250,  100,  100, YES
   250,  100,  150, YES
   250,  100,  200, YES
   250,  100,  250, YES
   250,  100,  300, YES
   250,  100,  350, YES
   250,  100,  400, YES
   250,  100,  450, YES
   250,  100,  500, YES
   250,  150,    0, YES
   250,  150,   50, YES
   250,  150,  100, YES
   250,  150,  150, YES
   250,  150,  200, YES
   250,  150,  250, YES
   250,  150,  300, YES
   250,  150,  350, YES
   250,  150,  400, YES
   250,  150,  450, YES
   250,  150,  500, YES
   250,  200,    0, YES
   250,  200,   50, YES
   250,  200,  100, YES
   250,  200,  150, YES
   250,  200,  200, YES
   250,  200,  250, YES
   250,  200,  300, YES
   250,  200,  350, YES
   250,  200,  400, YES
   250,  200,  450, YES
   250,  200,  500, YES
   250,  250,    0, YES
   250,  250,   50, YES
   250,  250,  100, YES
   250,  250,  150, YES
   250,  250,  200, YES
   250,  250,  250, YES
   250,  250,  300, YES
   250,  250,  350, YES
   250,  250,  400, YES
   250,  250,  450, YES
   250,  250,  500, YES
   250,  300,    0, YES
   250,  300,   50, YES
   250,  300,  100, YES
   250,  300,  150, YES
   250,  300,  200, YES
   250,  300,  250, YES
   250,  300,  300, YES
   250,  300,  350, YES
   250,  300,  400, YES
   250,  300,  450, YES
   250,  300,  500, YES
   250,  350,    0, YES
   250,  350,   50, YES
   250,  350,  100, YES
   250,  350,  150, YES
   250,  350,  200, YES
   250,  350,  250, YES
   250,  350,  300, YES
   250,  350,  350, YES
   250,  350,  400, YES
   250,  350,  450, YES
   250,  350,  500, YES
   250,  400,    0, YES
   250,  400,   50, YES
   250,  400,  100, YES
   250,  400,  150, YES
   250,  400,  200, YES
   250,  400,  250, YES
   250,  400,  300, YES
   250,  400,  350, YES
   250,  400,  400, YES
   250,  400,  450, YES
   250,  400,  500, YES
   300, -400,    0, YES
   300, -400,   50, YES
   300, -400,  100, YES
   300, -400,  150, YES
   300, -400,  200, YES
   300, -400,  250, YES
   300, -400,  300, YES
   300, -400,  350, YES
   300, -400,  400, YES
   300, -400,  450, YES
   300, -400,  500, YES
   300, -350,    0, YES
   300, -350,   50, YES
   300, -350,  100, YES
   300, -350,  150, YES
   300, -350,  200, YES
   300, -350,  250, YES
   300, -350,  300, YES
   300, -350,  350, YES
   300, -350,  400, YES
   300, -350,  450, YES
   300, -350,  500, YES
   300, -300,    0, YES
   300, -300,   50, YES
   300, -300,  100, YES
   300, -300,  150, YES
   300, -300,  200, YES
   300, -300,  250, YES
   300, -300,  300, YES
   300, -300,  350, YES
   300, -300,  400, YES
   300, -300,  450, YES
   300, -300,  500, YES
   300, -250,    0, YES
   300, -250,   50, YES
   300, -250,  100, YES
   300, -250,  150, YES
   300, -250,  200, YES
   300, -250,  250, YES
   300, -250,  300, YES
   300, -250,  350, YES
   300, -250,  400, YES
   300, -250,  450, YES
   300, -250,  500, YES
   300, -200,    0, YES
   300, -200,   50, YES
   300, -200,  100, YES
   300, -200,  150, YES
   300, -200,  200, YES
   300, -200,  250, YES
   300, -200,  300, YES
   300, -200,  350, YES
   300, -200,  400, YES
   300, -200,  450, YES
   300, -200,  500, YES
   300, -150,    0, YES
   300, -150,   50, YES
   300, -150,  100, YES
   300, -150,  150, YES
   300, -150,  200, YES
   300, -150,  250, YES
   300, -150,  300, YES
   300, -150,  350, YES
   300, -150,  400, YES
   300, -150,  450, YES
   300, -150,  500, YES
   300, -100,    0, YES
   300, -100,   50, YES
   300, -100,  100, YES
   300, -100,  150, YES
   300, -100,  200, YES
   300, -100,  250, YES
   300, -100,  300, YES
   300, -100,  350, YES
   300, -100,  400, YES
   300, -100,  450, YES
   300, -100,  500, YES
   300,  -50,    0, YES
   300,  -50,   50, YES
   300,  -50,  100, YES
   300,  -50,  150, YES
   300,  -50,  200, YES
   300,  -50,  250, YES
   300,  -50,  300, YES
   300,  -50,  350, YES
   300,  -50,  400, YES
   300,  -50,  450, YES
   300,  -50,  500, YES
   300,    0,    0, YES
   300,    0,   50, YES
   300,    0,  100, YES
   300,    0,  150, YES
   300,    0,  200, YES
   300,    0,  250, YES
   300,    0,  300, YES
   300,    0,  350, YES
   300,    0,  400, YES
   300,    0,  450, YES
   300,    0,  500, YES
   300,   50,    0, YES
   300,   50,   50, YES
   300,   50,  100, YES
   300,   50,  150, YES
   300,   50,  200, YES
   300,   50,  250, YES
   300,   50,  300, YES
   300,   50,  350, YES
   300,   50,  400, YES
   300,   50,  450, YES
   300,   50,  500, YES
   300,  100,    0, YES
   300,  100,   50, YES
   300,  100,  100, YES
   300,  100,  150, YES
   300,  100,  200, YES
   300,  100,  250, YES
   300,  100,  300, YES
   300,  100,  350, YES
   300,  100,  400, YES
   300,  100,  450, YES
   300,  100,  500, YES
   300,  150,    0, YES
   300,  150,   50, YES
   300,  150,  100, YES
   300,  150,  150, YES
   300,  150,  200, YES
   300,  150,  250, YES
   300,  150,  300, YES
   300,  150,  350, YES
   300,  150,  400, YES
